iter	RMSE
0	0.670173191
1	0.6503374112
2	0.6330230741
3	0.6166893634
4	0.6018264959
5	0.589373035
6	0.5779653492
7	0.567949483
8	0.5585746288
9	0.5499129283
10	0.5422063198
11	0.5350564901
12	0.5289868378
13	0.5229667365
14	0.5182341978
15	0.5134262809
16	0.5088559457
17	0.5049684586
18	0.5009399733
19	0.4977536903
20	0.4946375714
21	0.4921137928
22	0.4895988233
23	0.4875906265
24	0.4855953887
25	0.4837292722
26	0.4817998939
27	0.4801004358
28	0.4788028595
29	0.4772618282
30	0.4757420501
31	0.4743705676
32	0.4725871772
33	0.4714487284
34	0.4703145638
35	0.4693006896
36	0.4684414425
37	0.4672454888
38	0.4661563715
39	0.4654194218
40	0.4647474674
41	0.4638043743
42	0.4630299152
43	0.4622485457
44	0.4616277857
45	0.4609736773
46	0.460431511
47	0.4599782312
48	0.4592723959
49	0.4589267051
50	0.4585438869
51	0.4578595316
52	0.4571458011
53	0.4564784192
54	0.4561482516
55	0.4555732836
56	0.4551875422
57	0.4549194912
58	0.4544528603
59	0.4541831219
60	0.4538045278
61	0.4535121762
62	0.4532091458
63	0.4529128391
64	0.4527417702
65	0.4524610161
66	0.4519989775
67	0.4516111659
68	0.4513405024
69	0.4511493998
70	0.4509753657
71	0.4508313518
72	0.4505182763
73	0.4501275456
74	0.450007383
75	0.4496913444
76	0.4493717034
77	0.4492283241
78	0.449109261
79	0.4488280906
80	0.4486871784
81	0.4485262179
82	0.4482656098
83	0.4481341075
84	0.4480390502
85	0.4477329936
86	0.4474272075
87	0.4472732075
88	0.447068979
89	0.4469212139
90	0.4467544448
91	0.4464994596
92	0.4463972399
93	0.4461354771
94	0.4460225675
95	0.445844132
96	0.4457481998
97	0.4455012626
98	0.4451817176
99	0.4450768485
100	0.4447619269
101	0.444696223
102	0.4444880263
103	0.4443686548
104	0.4443030598
105	0.4441390542
106	0.4439131652
107	0.4437687857
108	0.4435925954
109	0.4434153005
110	0.4432973768
111	0.443182062
112	0.4429694908
113	0.442802714
114	0.4426512527
115	0.4424565454
116	0.4423729552
117	0.4422823381
118	0.4420989556
119	0.4419985678
120	0.4418875113
121	0.4416711675
122	0.441432193
123	0.4413556601
124	0.4412318121
125	0.4410821268
126	0.4409968445
127	0.4407822368
128	0.4406251643
129	0.4404833223
130	0.4404063711
131	0.4403147237
132	0.4401981819
133	0.4401194758
