iter	Passed	Remaining
0	63	63837
1	66	33428
2	70	23330
3	72	18085
4	74	14903
5	77	12819
6	79	11346
7	82	10208
8	84	9288
9	87	8628
10	90	8104
11	92	7636
12	95	7234
13	97	6879
14	100	6584
15	102	6324
16	105	6116
17	108	5899
18	110	5725
19	113	5556
20	115	5389
21	118	5271
22	121	5161
23	124	5064
24	126	4944
25	129	4849
26	132	4790
27	135	4701
28	138	4632
29	140	4548
30	143	4479
31	145	4415
32	148	4349
33	151	4303
34	154	4251
35	156	4201
36	160	4165
37	162	4114
38	165	4067
39	167	4022
40	170	3979
41	172	3933
42	174	3892
43	177	3857
44	179	3819
45	182	3786
46	184	3750
47	187	3720
48	190	3688
49	192	3666
50	195	3638
51	198	3611
52	200	3575
53	203	3563
54	206	3543
55	208	3520
56	211	3496
57	214	3477
58	216	3457
59	219	3444
60	222	3424
61	224	3399
62	227	3380
63	230	3368
64	232	3348
65	235	3328
66	238	3315
67	240	3302
68	243	3287
69	245	3267
70	248	3248
71	250	3234
72	253	3218
73	256	3204
74	258	3193
75	261	3177
76	264	3166
77	266	3150
78	269	3139
79	273	3139
80	275	3127
81	278	3112
82	280	3100
83	283	3089
84	285	3072
85	287	3060
86	290	3045
87	293	3037
88	295	3027
89	298	3019
90	301	3007
91	303	2996
92	305	2982
93	308	2974
94	311	2963
95	313	2953
96	315	2940
97	318	2930
98	321	2921
99	323	2912
100	326	2902
101	328	2893
102	331	2884
103	333	2872
104	335	2862
105	338	2853
106	340	2845
107	343	2839
108	346	2832
109	348	2823
110	351	2813
111	354	2807
112	356	2800
113	359	2795
114	362	2788
115	365	2781
116	367	2774
117	370	2769
118	373	2763
119	375	2756
120	378	2747
121	380	2740
122	383	2735
123	385	2726
124	388	2717
125	390	2708
126	393	2702
127	395	2696
128	398	2693
129	402	2693
130	405	2690
131	408	2686
132	411	2681
133	414	2678
134	416	2671
135	419	2664
136	422	2658
137	425	2656
138	427	2649
139	430	2642
140	432	2636
141	435	2630
142	437	2622
143	440	2617
144	442	2612
145	445	2607
146	448	2603
147	450	2596
148	453	2591
149	456	2587
150	459	2582
151	461	2577
152	464	2572
153	467	2570
154	470	2564
155	472	2558
156	475	2554
157	478	2547
158	480	2541
159	483	2537
160	485	2531
161	487	2523
162	490	2516
163	492	2509
164	495	2505
165	497	2501
166	500	2497
167	503	2491
168	505	2485
169	508	2482
170	511	2477
171	513	2472
172	516	2467
173	518	2461
174	520	2454
175	523	2450
176	526	2446
177	529	2443
178	531	2439
179	534	2433
180	536	2428
181	539	2423
182	542	2419
183	544	2414
184	547	2412
185	550	2407
186	552	2402
187	554	2396
188	557	2393
189	561	2391
190	564	2389
191	566	2383
192	568	2378
193	571	2374
194	573	2369
195	576	2364
196	578	2358
197	581	2356
198	584	2352
199	586	2347
200	588	2340
201	591	2335
202	594	2332
203	597	2329
204	599	2324
205	602	2320
206	604	2315
207	606	2310
208	609	2306
209	612	2302
210	614	2298
211	617	2294
212	620	2291
213	622	2286
214	624	2281
215	627	2279
216	630	2274
217	632	2269
218	635	2266
219	638	2262
220	640	2258
221	642	2253
222	645	2247
223	647	2242
224	649	2237
225	652	2234
226	654	2230
227	657	2226
228	659	2221
229	663	2219
230	665	2215
231	667	2210
232	670	2206
233	672	2202
234	675	2199
235	678	2195
236	681	2192
237	683	2189
238	686	2184
239	688	2181
240	691	2177
241	694	2175
242	696	2170
243	699	2166
244	701	2161
245	703	2156
246	705	2151
247	708	2147
248	710	2144
249	713	2140
250	716	2136
251	718	2134
252	720	2128
253	723	2125
254	726	2121
255	728	2117
256	731	2113
257	733	2110
258	736	2106
259	739	2104
260	742	2101
261	744	2096
262	746	2093
263	749	2089
264	751	2085
265	754	2082
266	757	2079
267	760	2075
268	762	2072
269	764	2067
270	767	2064
271	770	2062
272	773	2059
273	776	2056
274	779	2054
275	781	2051
276	785	2050
277	788	2048
278	791	2046
279	794	2043
280	797	2040
281	799	2036
282	803	2034
283	806	2032
284	809	2030
285	812	2027
286	815	2025
287	817	2021
288	820	2017
289	822	2014
290	825	2010
291	827	2007
292	830	2004
293	833	2000
294	835	1997
295	838	1993
296	840	1989
297	843	1986
298	845	1983
299	848	1979
300	851	1976
301	853	1973
302	856	1970
303	859	1967
304	862	1964
305	864	1961
306	867	1958
307	870	1955
308	872	1951
309	875	1949
310	878	1946
311	881	1943
312	883	1939
313	886	1936
314	888	1932
315	891	1929
316	894	1926
317	896	1922
318	899	1919
319	901	1916
320	904	1912
321	906	1909
322	909	1905
323	911	1901
324	914	1898
325	916	1895
326	919	1891
327	921	1887
328	923	1883
329	926	1880
330	929	1877
331	932	1875
332	934	1871
333	937	1869
334	940	1866
335	942	1862
336	945	1860
337	948	1857
338	950	1854
339	953	1851
340	956	1847
341	958	1844
342	961	1841
343	963	1837
344	966	1835
345	969	1831
346	971	1828
347	974	1825
348	976	1822
349	979	1818
350	981	1815
351	984	1811
352	986	1808
353	989	1805
354	992	1802
355	995	1800
356	997	1797
357	1000	1793
358	1002	1790
359	1005	1787
360	1008	1784
361	1010	1781
362	1013	1778
363	1016	1775
364	1018	1772
365	1020	1768
366	1023	1765
367	1026	1762
368	1028	1759
369	1031	1755
370	1033	1752
371	1036	1749
372	1039	1746
373	1041	1743
374	1044	1740
375	1046	1737
376	1049	1734
377	1051	1731
378	1054	1727
379	1056	1724
380	1059	1721
381	1061	1718
382	1064	1714
383	1066	1711
384	1069	1708
385	1072	1705
386	1074	1702
387	1077	1699
388	1079	1695
389	1082	1692
390	1084	1689
391	1087	1686
392	1089	1683
393	1092	1679
394	1094	1676
395	1097	1673
396	1099	1670
397	1102	1668
398	1105	1665
399	1108	1662
400	1111	1659
401	1113	1656
402	1115	1652
403	1118	1650
404	1121	1647
405	1123	1643
406	1126	1641
407	1129	1639
408	1132	1636
409	1134	1632
410	1137	1629
411	1139	1626
412	1142	1623
413	1144	1620
414	1147	1616
415	1149	1613
416	1151	1610
417	1154	1607
418	1156	1603
419	1159	1601
420	1167	1605
421	1169	1602
422	1172	1599
423	1174	1595
424	1176	1591
425	1178	1587
426	1180	1584
427	1182	1580
428	1184	1577
429	1186	1573
430	1189	1569
431	1191	1566
432	1193	1562
433	1195	1559
434	1197	1555
435	1199	1552
436	1202	1548
437	1204	1545
438	1206	1541
439	1208	1537
440	1210	1534
441	1212	1530
442	1214	1527
443	1216	1523
444	1218	1520
445	1221	1517
446	1224	1514
447	1226	1511
448	1229	1508
449	1232	1505
450	1234	1502
451	1236	1499
452	1239	1496
453	1241	1492
454	1243	1489
455	1245	1486
456	1247	1482
457	1250	1479
458	1252	1475
459	1254	1472
460	1257	1469
461	1259	1466
462	1261	1463
463	1263	1459
464	1265	1456
465	1267	1453
466	1270	1449
467	1272	1445
468	1274	1442
469	1276	1439
470	1278	1435
471	1280	1432
472	1282	1428
473	1284	1425
474	1286	1422
475	1288	1418
476	1291	1415
477	1293	1412
478	1295	1409
479	1298	1406
480	1300	1403
481	1303	1400
482	1305	1397
483	1308	1394
484	1310	1391
485	1312	1387
486	1314	1384
487	1316	1380
488	1318	1377
489	1320	1374
490	1322	1371
491	1325	1368
492	1326	1364
493	1329	1361
494	1331	1358
495	1333	1355
496	1336	1352
497	1338	1349
498	1340	1345
499	1342	1342
500	1345	1340
501	1347	1337
502	1349	1333
503	1352	1331
504	1355	1328
505	1357	1325
506	1360	1322
507	1362	1319
508	1365	1316
509	1366	1313
510	1369	1310
511	1371	1307
512	1373	1304
513	1376	1301
514	1378	1297
515	1380	1294
516	1382	1291
517	1384	1288
518	1386	1284
519	1388	1281
520	1390	1278
521	1392	1275
522	1394	1272
523	1396	1268
524	1399	1265
525	1401	1262
526	1403	1259
527	1405	1256
528	1407	1253
529	1409	1249
530	1411	1246
531	1413	1243
532	1415	1240
533	1417	1237
534	1420	1234
535	1422	1231
536	1425	1229
537	1427	1226
538	1429	1222
539	1431	1219
540	1434	1216
541	1436	1213
542	1438	1210
543	1440	1207
544	1442	1204
545	1444	1201
546	1446	1198
547	1449	1195
548	1451	1192
549	1453	1189
550	1455	1186
551	1458	1183
552	1460	1180
553	1462	1177
554	1465	1174
555	1467	1171
556	1469	1168
557	1471	1165
558	1473	1162
559	1476	1159
560	1478	1156
561	1480	1154
562	1482	1150
563	1485	1148
564	1487	1145
565	1489	1142
566	1492	1139
567	1494	1136
568	1496	1133
569	1498	1130
570	1501	1127
571	1503	1124
572	1505	1121
573	1508	1119
574	1510	1116
575	1513	1114
576	1516	1111
577	1519	1109
578	1522	1106
579	1524	1104
580	1527	1101
581	1531	1099
582	1533	1097
583	1536	1094
584	1540	1092
585	1542	1090
586	1545	1087
587	1547	1084
588	1549	1081
589	1551	1077
590	1552	1074
591	1554	1071
592	1557	1068
593	1559	1066
594	1562	1063
595	1564	1060
596	1566	1057
597	1568	1054
598	1570	1051
599	1572	1048
600	1575	1045
601	1577	1042
602	1579	1039
603	1581	1036
604	1584	1034
605	1586	1031
606	1588	1028
607	1591	1026
608	1593	1023
609	1596	1020
610	1598	1017
611	1600	1014
612	1602	1011
613	1605	1009
614	1608	1006
615	1611	1004
616	1613	1001
617	1614	998
618	1617	995
619	1620	993
620	1622	990
621	1624	987
622	1626	984
623	1629	981
624	1631	978
625	1633	975
626	1635	972
627	1637	969
628	1639	966
629	1641	964
630	1643	961
631	1645	958
632	1648	955
633	1650	952
634	1652	949
635	1654	947
636	1656	944
637	1658	941
638	1660	938
639	1662	935
640	1665	932
641	1668	930
642	1670	927
643	1673	924
644	1675	922
645	1678	919
646	1680	916
647	1682	913
648	1684	910
649	1686	908
650	1688	905
651	1690	902
652	1692	899
